Название вакансии,URL,Название компании,Описание,цна
Junior Python Developer (Swiss AI Startup),https://hh.ru/vacancy/35377689?query=python, Assaia International AG,"Write production-grade Python code for our in-house machine learning platform. Participate in code reviews and architecture planning discussions. ...popular OOP language (Python, Java, C++). Main skills: University-level knowledge of data structures and algorithms. Python: at least, understanding...",1 300-2 100 USD
Machine Learning Developer (AWS),https://hh.ru/vacancy/35380438?query=python,ООО ClearScale,"We are hiring for a 2-year-long project related to a migration from a 3rd party cloud to...Hands-on experience with ElasticSearch. Hands-on experience with advanced Python data frameworks (Seaborn, PyTorch, Dask). Valid AWS certificates would...",от 320 000 руб.
Преподаватель IT-дисциплин,https://hh.ru/vacancy/35390359?query=python, EasyPro Academy,"Автоматизированная онлайн-система ведения курса (допуск к урокам, домашним заданиям, контроль выполнения и т.д.). Материалы для уроков и интерактивные...Высшее или неоконченное высшее образование. Рассматриваем также кандидатов из числа студентов не ниже 2-ого курса высшего учебного заведения. ",24 000-52 000 руб.
Технический директор (с навыком - Python),https://hh.ru/vacancy/35382857?query=python," ГДЕЭТОТДОМ.РУ,ООО","ГдеЭтотДом.РУ — интернет портал по недвижимости. Мы занимаемся производством, сбором, обработкой и представлением разнообразной информации по недвижимости, объявления по аренде и...Отличное знание SQL и опыт работы с реляционными базами данных: mysql, postgresql (postgis); знание Oracle приветствуется. Опыт работы с AWS...",120 000-160 000 руб.
Разработчик PostgreSql,https://hh.ru/vacancy/35379133?query=python, Галактика,"Разработка базы данных под управлением Postgresql. Написание хранимых процедур и функций на pgSQL, Python.Опыт работы от 3-x лет. Отличные знания технологий реляционных СУБД и синтаксиса SQL. Опыт программирования .NET C# или Node.js. ",от 100 000 руб.
Python fullstack developer,https://hh.ru/vacancy/35357955?query=python, Elastoo,"Среди наших проектов. - сервис заработка в индустрии киберспорта. - телеграм бот для обмена валютами. - телеграм бот для просмотра своей инвестиционной статистики. - Умение быстро прототипировать фичи. - Работа с одним из фреймворков Python Sanic, Python Django. - Уверенное понимание принципов работы БД Mongodb, Postgresql. - ",50 000-70 000 руб.
Ведущий разработчик PostgreSql,https://hh.ru/vacancy/35371216?query=python, Галактика,"Разработка базы данных под управлением Postgresql. Написание хранимых процедур и функций на pgSQL, Python.Опыт работы от 3-x лет. Отличные знания технологий реляционных СУБД и синтаксиса SQL. Опыт программирования .NET C# или Node.js. ",120 000-170 000 руб.
NLP Research Scientist,https://hh.ru/vacancy/35349418?query=python,ИП Вовченко Е. А.,"ACTNext has an opening for a NLP Research Scientist in the AI and Machine Learning group. This newly established group...Expertise in coding and software development utilizing Python and or R, Java, C, C++. Experience in educational simulations and games...",от 180 000 руб.
Back end разработчик (Middle),https://hh.ru/vacancy/35075371?query=python, Uplab,"Разработка, поддержка и развитие проектов на CMS 1C-Битрикс: ORM, HL, ООП-компоненты, модули, интеграция верстки, работа с шаблонизаторами...Опыт работы на CMS 1С-Битрикс (D7) от 2 лет. PHP 7, MySQL, HTML5/CSS3/, JavaScript...",80 000-120 000 руб.
Golang engineer,https://hh.ru/vacancy/35339532?query=python,ООО Fortu Wealth,"Will be a plus if you have: Worked in start-ups before. Experience with other programming languages, such as Python...",2 000-3 000 USD
Backend-разработчик Node.js,https://hh.ru/vacancy/34924332?query=python,ООО Мой Стенд,"Реализовывать бизнес-логику приложений. Создавать микросервисы и их интеграцию с приложениями. Проводить код-ревью, участвовать в технических обсуждениях.Опыт продакшн-разработки от 1 года. Опыт разработки на Node.js, NestJS, TypeScript/JavaScript. Знание принципов REST. Опыт с системами контроля...",от 100 000 руб.
Junior PHP Developer,https://hh.ru/vacancy/35355643?query=python, TR Logic LLC,"Проектирование, разработка, тестирование и поддержка кода на PHP. Проектирование и улучшение структуры БД для масштабируемых и высоконагруженных сервисов. Понимание SOLID, OOP, MVC, Git Flow. Приветствуется опыт в Python, Ruby, TypeScript, Go, Rust. Приветствуется опыт работы с Memcached, Twig. ",от 1 000 EUR
Middle+/Senior Java developer,https://hh.ru/vacancy/35346990?query=python,ООО Максилект,"Покрытие тестами. Решать нетривиальные и нестандартные задачи. Планируемый технологический стек: Участие в HR-программах.Технологии и стандарты: REST, JWT, Docker, Unix. Сборка: Maven. Желательно: Знание Python, Jython. Знание PaaS (Cloud Foundry, Predix). ",от 140 000 руб.
Senior full-stack разработчик,https://hh.ru/vacancy/35314384?query=python,ИП Олевский Арсений Евгеньевич,"Опыт работы на других языках бэкенда: Node.JS, Python. Знание и опыт работы с реляционной БД (PostgreSQL). Опыт работы с высоконагруженными...",до 180 000 руб.
Тестировщик ПО/ QA Engineer,https://hh.ru/vacancy/35251914?query=python,ООО ГК Д.А. Консалт,"Автоматизировать процесс тестирования продукта (на базе selenium или подобных решений, через веб интерфейс, конвейер на базе Jenkins . Написание тестов по...Владение программами : Selenium, Jenkins, jira, shell windows, bash, (ЯП java, python мб другой). Самостоятельность, быстро обучаемость, хорошее логическое мышление, инициативность...",80 000-120 000 руб.
QA Engineer,https://hh.ru/vacancy/35281226?query=python, InvestEngine,Оптимизировать и настраивать процессы тестирования внутри команды. Заниматься функциональным тестированием Web приложения и на платформах iOS/Android и отслеживать качество...Способность работать без тест-планов и документации. Опыт автоматизации процесса тестирования (selenium + python) от 1 года. Аналитический склад ума...,60 000-100 000 руб.
Программист-разработчик (Middle / Pre-Middle),https://hh.ru/vacancy/35301579?query=python,ООО PLDMT,"Оперативно отвечаем на вопросы. Члены команды уважительно относятся друг к другу и всегда заранее предупреждают, если нужно уйти в offline. Как будем работать: Взаимодействие происходит через Telegram и Trello, ТЗ — в гугл.доках.. Что нужно знать: Php. Html. JavaScript. MySql. ",100-500 USD
Преподаватель по программированию,https://hh.ru/vacancy/35297472?query=python, IT школа Hello world,"Готовность осваивать новое и неведомое, стремление к развитию. Знание HTML, CSS, JavaScript, Python или аналогичных языков. Приветствуется: Опыт работы преподавателем. ",25 000-45 000 руб.
Back-End Developer,https://hh.ru/vacancy/31307138?query=python, TR Logic LLC,"проектирование, разработка, тестирование и поддержка бэкендов веб-проектов на языке Rust. - проектирование структур баз данных. - разработка модулей к существующим проектам.приветствуется опыт работы по CQRS+ES парадигме. - приветствуется опыт работы с другими языками Python, Ruby, TypeScript, JavaScript. - желание активно развиваться и...",от 2 000 EUR
Backend Software Engineer,https://hh.ru/vacancy/35327294?query=python, Percona,"Brainstorm with designers, architects, and product managers to build and tweak functionality. Participate in code and design reviews, teaching and...2+ years programming in Golang (preferred), Java, Python with excellent programming fundamentals. Test-driven and zealous about testing. ",от 200 000 руб.
Backend Software Engineer,https://hh.ru/vacancy/35327295?query=python, Percona,"Brainstorm with designers, architects, and product managers to build and tweak functionality. Participate in code and design reviews, teaching and...2+ years programming in Golang (preferred), Java, Python with excellent programming fundamentals. Test-driven and zealous about testing. ",от 200 000 руб.
Frontend-разработчик,https://hh.ru/vacancy/35281440?query=python, InvestEngine,"Разработка пользовательских интерфейсов в стеке React + Redux. Участие в code-review frontend команды. Участие в проектирование и доработке архитектуры...Опыт разработки от 3 лет. Отличное знание ES6+. Опыт работы с любым современным фреймворком для фронтенд-приложений, мы...",100 000-200 000 руб.
Rust Developer,https://hh.ru/vacancy/31308665?query=python, TR Logic LLC,"проектирование, разработка, тестирование и поддержка бэкендов веб-проектов. - разработка высокопроизводительных низкоуровневых элементов ПО. - проектирование структур баз данных. - разработка модулей к...приветствуется опыт работы с другими языками Java, Go, Python, Ruby, TypeScript, JavaScript. - желание активно развиваться и изучать новое. - ",от 2 000 EUR
DevOps engineer (Remote),https://hh.ru/vacancy/35321951?query=python,ООО ClearScale,"ClearScale LLC (штаб-квартира: Сан-Франциско, Калифорния, США) - AWS Premier Consulting Partner, уже более 10 лет предлагает полный спектр профессиональных...Databases: various SQL и NoSQL hands-on experience. -- Scripting: bash, python as an advantage. -- CI/CD: Jenkins, TeamCity as an...",от 180 000 руб.
DevOps engineer (Remote),https://hh.ru/vacancy/35321905?query=python,ООО ClearScale,"ClearScale LLC (штаб-квартира: Сан-Франциско, Калифорния, США) - AWS Premier Consulting Partner, уже более 10 лет предлагает полный спектр профессиональных...Databases: various SQL и NoSQL hands on experience. -- Scripting: bash, python as an advantage. -- CI/CD: Jenkins, TeamCity as an...",от 180 000 руб.
DevOps engineer (Remote),https://hh.ru/vacancy/35321867?query=python,ООО ClearScale,"ClearScale LLC (штаб-квартира: Сан-Франциско, Калифорния, США) - AWS Premier Consulting Partner, уже более 10 лет предлагает полный спектр профессиональных...Databases: various SQL и NoSQL hands on experience. -- Scripting: bash, python as an advantage. -- CI/CD: Jenkins, TeamCity as an...",от 180 000 руб.
Специалист отдела системного администрирования,https://hh.ru/vacancy/35292947?query=python, Finbridge,"Администрирование Kubernetes кластера. Автоматизация задач администрирования, написание скриптов (bash, PowerShell, python, php, Go). Администрирование MSSQL 2012/2017. Обеспечение бесперебойной работы...Опыт администрирования в сфере ИТ — от 3 лет. Умение работать с Jira, Confluence, Docker, Git. Опыт администрирования Windows Server, Linux...",до 80 000 руб.
Специалист отдела системного администрирования,https://hh.ru/vacancy/35292948?query=python, Finbridge,"Администрирование Kubernetes кластера. Автоматизация задач администрирования, написание скриптов (bash, PowerShell, python, php, Go). Администрирование MSSQL 2012/2017. Обеспечение бесперебойной работы...Опыт администрирования в сфере ИТ — от 3 лет. Умение работать с Jira, Confluence, Docker, Git. Опыт администрирования Windows Server, Linux...",до 80 000 руб.
Специалист отдела системного администрирования,https://hh.ru/vacancy/35292949?query=python, Finbridge,"Администрирование Kubernetes кластера. Автоматизация задач администрирования, написание скриптов (bash, PowerShell, python, php, Go). Администрирование MSSQL 2012/2017. Обеспечение бесперебойной работы...Опыт администрирования в сфере ИТ — от 3 лет. Умение работать с Jira, Confluence, Docker, Git. Опыт администрирования Windows Server, Linux...",до 80 000 руб.
PHP Developer,https://hh.ru/vacancy/31776172?query=python, TR Logic LLC,"проектирование, разработка, тестирование и поддержка кода на PHP. - проектирование структур баз данных. - разработка модулей к существующим проектам. - улучшение существующего кода...приветствуется понимание TDD, BDD, опыт автоматизированного тестирования. - приветствуется опыт работы с другими языками Python, Ruby, TypeScript, Go, Rust. - ",от 1 500 EUR
DevOps engineer (Remote),https://hh.ru/vacancy/35299140?query=python,ООО ClearScale,"ClearScale LLC (штаб-квартира: Сан-Франциско, Калифорния, США) - AWS Premier Consulting Partner, уже более 10 лет предлагает полный спектр профессиональных...Databases: various SQL и NoSQL hands on experience. -- Scripting: bash, python as an advantage. -- CI/CD: Jenkins, TeamCity as an...",от 180 000 руб.
"Product manager (SaaS, Eng)",https://hh.ru/vacancy/35271147?query=python,ООО Трастид Т,"The Ultimate goal - создать в компании процесс непрерывных улучшений Продуктов для достижения целей бизнеса, включая рост LTV и снижение Churn. Умение оценить влияние реализуемой функциональности на смежные бизнес процессы. Будет плюсом: Умение самостоятельно выбрать и обработать данные (SQL, Python).",от 200 000 руб.
Application Security Engineer (Security Team),https://hh.ru/vacancy/35272224?query=python, Coins.ph,"Implement SSDLC in fast-growing company for web and mobile applications. Design and implement new security solutions, tools to protect...Experience in using scripting languages e.g. Python, Golang to automate tasks and manipulate data. In-depth knowledge of OWASP...",3 700-6 500 USD
Infrastructure Security Engineer (Security Team),https://hh.ru/vacancy/35271987?query=python, Coins.ph,"Knows how to build continuous monitoring of cloud infrastructure. Experienced with MDM solutions. Drive technical innovation and efficiency in infrastructure...Experience in using scripting languages like Python, Golang to automate tasks and manipulate data. Excellent problem solving skills. ",3 500-6 700 USD
Программист нейросетей по обработке изображений,https://hh.ru/vacancy/35184633?query=python, AMS Software,"...объектов, распознавания лиц. Организация процесса разработки и подготовки для внедрения полученных моделей в приложения. Написание кода на Python и C++.Разрабатка и обучение моделей компьютерного зрения на основе нейронных сетей для детекции лиц, глаз и тд. Знание современных технологий машинного...",от 160 000 руб.
Координатор онлайн-курсов,https://hh.ru/vacancy/35238569?query=python,ООО Технологии в образовании,"Детально разобраться в обучающей платформе, тематике курса, всех процессах организации обучения и отвечать на вопросы клиентов в почте и чатах. Знание Python на базовом уровне (типы данных, синтаксис циклов и функций). Аккуратность и пунктуальность. Грамотная письменная и устная речь. ",25 000-35 000 руб.
Разработчик мобильных приложений на Android (удаленно),https://hh.ru/vacancy/35224528?query=python,ООО Байкал-Веб,"понимание основ разработки backend (nodejs, python, php, go) и баз данных (MongoDB, PostgreSQL, Mysql). - опыт писать Unit-тесты. - ",от 25 000 руб.
Data Analyst for a Swiss AI Startup,https://hh.ru/vacancy/35185209?query=python, Assaia International AG,"Doing explorative analysis on individual customers’ datasets to find anomalies, dependencies and other interesting insights. Doing comparative analysis on different...Curious and gets energy from proactively exploring large datasets for interesting insights. Has experience in Python. Has experience with data...",2 000-3 000 USD
Golang Engineer (Wallet Team),https://hh.ru/vacancy/35234435?query=python, Coins.ph,"Experience with Agile Product Development processes and individual contribution. Go and Python as main Programming Languages for the majority of...4+ years of relevant experience as a Software Engineer with a strong team. Understanding and practically using SOLID, GRASP...",3 700-6 500 USD
Frontend-разработчик React,https://hh.ru/vacancy/35207676?query=python,ООО Мой Стенд,"Сайт - mystand.io. Разрабатывать интерфейс веб-сервисов. Проводить код-ревью, участвовать в технических обсуждениях.Компания MYSTAND работает на рынке IT c 2010 года. Портфолио - www.behance.net/MyStand. Опыт продакшн-разработки от 1 года. ",от 90 000 руб.
Ведущий технический писатель / DocOps engineer,https://hh.ru/vacancy/32892298?query=python, documentat.io,"Наша компания занимается заказной разработкой технической документации. Мы помогаем другим IT-компаниям документировать API и SDK, писать руководства для пользователей...Будет здорово, если вы писали текстовые трансформации на Python или создавали расширения/плагины к своим любимым SSG. Владение CSS, JavaScript...",120 000-150 000 руб.
Infrastructure Engineer,https://hh.ru/vacancy/35232734?query=python, Ton Labs,"Maintains, monitors, and supports the infrastructure environment. Develops enhanced production monitoring and additional capability. Defines improvements increased system reliability and...Experience developing software or scripting with Java, Javascript, Python or UNIX shell. Experience with NoSQL and SQL databases. ",от 150 000 руб.
Database Administrator (PostgreSQL),https://hh.ru/vacancy/35238896?query=python, Coins.ph,"Administration of PostgreSQL databases throughout the development and production lifecycles (cluster creation, maintenance, configuration). Design and develop logical and physical...Skills to write some code to fulfil DBA team needs (bash, python, go, lua). Docker and related technologies (Kubernetes, docker...",3 700-6 500 USD
Account-manager,https://hh.ru/vacancy/35215591?query=python, YoRich,"Совмещение с другой работой крайне нежелательно.Умеете участвовать в неудобных переговорах. Умеете работать с дебиторской задолженностью. Специалист высокого уровня, с пониманием специфики разработки IT проектов (веб...",от 50 000 руб.
DevOps Specialist (IT Operations Team),https://hh.ru/vacancy/35234222?query=python, Coins.ph,"Go and Python as main Programming Languages for the majority of our backend. Kubernetes is enhanced with Monitoring(Prometheus), vertical...Experience with remote work and good self-discipline. Go/Python programming languages on good level. THINGS TO DO. Remote work. ",3 700-6 500 USD
Distributed Systems Engineer/Developer,https://hh.ru/vacancy/35018694?query=python, Hunt For You,"A Distributed Systems Engineer with experience in building high-performing, scalable, enterprise-grade applications. You will be responsible for building...BS/MS degree in Computer Science, Engineering or a related subject. 5+ years of industry experience. Experience in building...",5 500-6 500 USD
Web-программист,https://hh.ru/vacancy/35185459?query=python,ИП Олевский Арсений Евгеньевич,"Выбор стека технологий. Разработка API. Выбор БД и оптимизация ее работы.Опыт работы с PHP/Python, MySQL, PostgreSQL. Git, Slack и т.д.",от 80 000 руб.
Разработчик мобильных приложений IOS - Swift (удаленно),https://hh.ru/vacancy/35223231?query=python,ООО Байкал-Веб,"писать качественный код на Swift. - Бонусы в виде купонов на посещение различных заведений (клубов, саун и прочего от наших клиентов).Плюсом будет: - наличие своих / разработанных вами приложений в AppStore. - понимание основ разработки backend (nodejs, python, php, go) и баз данных...",от 25 000 руб.
Systems Support Engineer,https://hh.ru/vacancy/35159137?query=python,ООО ClearScale,"Мониторинг клиентских сред (* NIX-systems): реакция на оповещения, обнаружение ""узких"" мест, анализ графиков и т.п. Предоставление качественного сервиса. Знание LINUX на уровне администратора (NIX-systems protocol family TCP / IP). Знание bash/shell/awk/sed-skripting. Знание английского языка...",от 60 000 руб.
Системный администратор Linux,https://hh.ru/vacancy/35136518?query=python, РОССКО,"Взаимодействие с командой разработчиков. Настройка и мониторинг сервисов. Автоматизация рутинных операций. Автоматизация процессов сборки, тестирования и деплоя приложений.Знание работы Docker, Ansible, систем оркестрации контейнеров. Опыт написания скриптов на bash, python, powershell (приветствуется), etc. Знания и опыт работы...",от 110 000 руб.
DevOps Engineer,https://hh.ru/vacancy/33725176?query=python, TR Logic LLC,"Проектирование, построение, поддержка и развитие в эксплуатации: - высокодоступной инфраструктуры в рамках нескольких датанцетров (на базе Kubernetes). - инструментов жизненного цикла проектов...опыт работы с Grafana. - владение языками программирования (предпочтительно что-то из Python, Go, Rust, Java, PHP). - хорошее понимание принципов кластеризации...",от 2 000 EUR
Аналитик данных,https://hh.ru/vacancy/34636849?query=python, ЦЕНТРОФИНАНС,"Сбор и анализ данных из различных информационных систем (внутренних и внешних). Выявление паттернов. Разработка систем хранения и обработки данных. Опыт программирования на Python, R. Опыт работы с реляционными БД. Опыт работы в ОС Linux. Опыт работы с системами контроля...",от 80 000 руб.
Аналитик данных,https://hh.ru/vacancy/35143278?query=python, ЦЕНТРОФИНАНС,"Сбор и анализ данных из различных информационных систем (внутренних и внешних). Выявление паттернов. Разработка систем хранения и обработки данных. Опыт программирования на Python, R. Опыт работы с реляционными БД. Опыт работы в ОС Linux. Опыт работы с системами контроля...",от 80 000 руб.
Backend разработчик,https://hh.ru/vacancy/35135123?query=python,ООО Маддис,"Верстка сайтов различной сложности. Верстка email-рассылок.Знания Java, C++ (включая современные стандарты, Boost). HTML, JS, CSS. Опыт работы с React Native. Опыт работы c Git. ",от 100 000 руб.
Разработчик .NET (C#),https://hh.ru/vacancy/35103862?query=python, AG Deltaplan,"Разработка и поддержание программного обеспечения. Интеграции с внешними системами. Участие в разработке систем аналитической отчетности и подготовке данных для API.Уверенное владение C#. ЗЗнание платформы Microsoft .NET Core 2.0 и выше. Понимание принципов ООП. Опыт разработки Web-сервисов, понимание...",70 000-80 000 руб.
