Название вакансии,URL,Название компании,Описание,цна
Программист Python,https://hh.ru/vacancy/35473239?query=python,ООО Продснаб,Разработка парсеров различных сайтов(всего около 50 сайтов). Поддержание парсеров в работоспособном состоянии.Коммуникабельность. Умение работать в команде. Уметь слушать и слышать собеседника/коллегу/руководителя.,от 50 000 руб.
Программисты Kotlin \ Python \ Swift,https://hh.ru/vacancy/35575553?query=python, InterGroup,Разработка под android (Kotlin). Разработка под iOS (swift). Разработка серверной части (python). Отчет о проделанной работе. Код ревью. Оценка ТЗ. Только с высшим образованием. Минимум 1 год работы в Аутсорс компании.,до 80 000 руб.
Python Backend Developer (Remote),https://hh.ru/vacancy/35394135?query=python,ООО АппФоллоу,"Работа с магазинами приложений App Store, Google Play, Mac Store и Amazon Store (парсинг меты приложений, отзывов и др.). Уверенное владение Python, MySQL, MongoDB, Redis. Владение WSGI frameworks, Aiohttp или Asyncio производных. Понимание распределенных/параллельных вычислений. Базовые навыки развертывания...",80 000-160 000 руб.
Web-разработчик,https://hh.ru/vacancy/35101508?query=python, Skolkovo Realty,"Поддерживать и развивать существующие сайты. Осуществлять доработки текущего функционала и добавлять новый. Создавать новые сайты для компании. Оперативно исправлять выявленные...Уверенное знание PHP, Perl, SQL, Git. Владение HTML/CSS/JS (кроссбраузерная верстка, в том числе, на. Bootstrap 3/4). ",30 000-60 000 руб.
Python разработчик,https://hh.ru/vacancy/35298996?query=python,ООО Юнайтед Иншуренс Компани,"Уверенное знание Python. Опыт работы с Django\Flask\asyncio. Опыт работы с PostgreSQL. Писать pytest\unit tests (начим, если не...",80 000-150 000 руб.
Frontend-разработчик,https://hh.ru/vacancy/35281788?query=python,ИП Черкасов Константин Юрьевич,"Требования: - базовое знание ExtJS. - уверенное знание JavaScript (ES5, ES6+). - понимание основных принципов OOP, MVC, MVVM. - ",50 000-90 000 руб.
GoLang (Tarantool + Lua) разработчик,https://hh.ru/vacancy/35272436?query=python, SIA Starbridge,"Знание, как минимум еще одного языка программирования (C/C++, Java, Python, Javascript/Node.js, ...) с опытом промышленной разработки от 2-х...",100 000-200 000 руб.
Разработчик Python + Django,https://hh.ru/vacancy/35281046?query=python, InvestEngine,"Опыт разработки от 3 лет. Python, Django. MySQL/PostgreSQL, Redis, опыт оптимизации запросов. Представление, как устроен современный фронтенд (BEM, React...",100 000-180 000 руб.
Python / DevOps инженер,https://hh.ru/vacancy/35113399?query=python,ООО Б152,"Участие в разработке системы оценки веб-сайтов и компаний на соответствие российским и международным стандартам по защите персональных данных. Опыт построения DevOps-инфраструктуры. Хорошее знание Python. Опыт работы с базами данных MySQL, PostgreSQL. Опыт интеграции с внешними сервисами. ",от 120 000 руб.
Python разработчик,https://hh.ru/vacancy/35253448?query=python,ООО Альфа Лайн,"Разработка модулей и проектов на Django(в том числе правка html/jquery в случае ajax).Python3, django. Html/css/js/jquery/vuejs. Опыт работы class based views.",30 000-50 000 руб.
Python Developer/Data Scientist for a Swiss Startup,https://hh.ru/vacancy/35272187?query=python, Assaia International AG,Write production-grade Python code for our in-house machine learning platform. Participate in code reviews and architecture planning discussions. You have to be very good in at least 1 popular OOP language. Python: understanding of syntax and basics. ,2 000-3 600 USD
Team Lead Python Developer,https://hh.ru/vacancy/35277246?query=python,ООО Юнайтед Иншуренс Компани,"Контроль разработки нового функционала в существующих сервисах. Участие в разработке решений. Построение архитектуры решений. Постановка, декомпозиция, оценка задач. Стек технологий: Python 3, Django, SQL, HTML, CSS, Linux, Git, Flask. Знакомство с Celery. Знание PostgreSql, MongoDB. Опыт построения отказоустойчивых...",от 180 000 руб.
Преподаватель Scratch/JavaScript/Python,https://hh.ru/vacancy/35297595?query=python, IT школа Hello world,"...или Scratch и Python. Готовность осваивать новое и неведомое, стремление к развитию. Опыт в JavaScript или Python очень желателен. ",25 000-45 000 руб.
Python (Django) разработчик,https://hh.ru/vacancy/35157931?query=python,ООО BENOVATE,"Разработка и поддержка web-приложений различной сложности. Доработка и поддержка существующего ПО. Написание автоматических unit-тестов. Документирование кода.Опыт разработки на Python 2.7/3, Django, PostgreSQL. Опыт использования реляционных СУБД и NoSQL-хранилищ. Опыт оптимизации приложений и...",80 000-140 000 руб.
Ведущий программист Python/Django,https://hh.ru/vacancy/35088377?query=python,ООО ДЖАСТ ВОРК,,130 000-200 000 руб.
"Проверяющий преподаватель на курс ""Аналитик данных на Python""",https://hh.ru/vacancy/35282882?query=python, Skillbox,"Проверять работы студентов курсов по курсу ""Аналитик данных на Python"" от Skillbox. Давать обратную связь студентам по выполненным заданиям в...Опыт разработки на Python не менее 2-х лет. Опыт использования NumPy, Pandas, Matplotlib, Seaborn. Опыт использования xml, json, REST...",25 000-60 000 руб.
Ведущий программист Python/Django,https://hh.ru/vacancy/35088428?query=python,ООО ДЖАСТ ВОРК,,130 000-200 000 руб.
В команду ищем React.js разработчика на фронтенд,https://hh.ru/vacancy/35162058?query=python, Whalesburg s.r.o.,"Создание frontend на React.js (bootstrap или foundation). Оптимизировать свой код, писать грамотно изначально. Общение с командой в Slack. Уметь в Docker и микросервисы. Знать и иметь опыт с CI/CD. Уметь работать с видеопотоком на фронте.",60 000-80 000 руб.
Full-Stack Web-Developer / Web-Master,https://hh.ru/vacancy/34649894?query=python, NPBFX Limited,"Разработать и внедрить новое веб-приложение самостоятельно и с привлечением сторонних специалистов. Осуществлять поддержку и развитие всех используемых в проекте...Опыт проектирования и разработки веб-приложений от 3 лет. Уверенное знание веб-технологий (HTML, CSS, JavaScript). Знание LAMP или другого...",100 000-150 000 руб.
Программист Golang,https://hh.ru/vacancy/35159366?query=python,ИП Михеев Антон Михайлович,Разрабатывать программное обеспечение в сфере архитектуры на языке Golang. Выполнять работы в соответствии с графиком производства работ.Знание Golang. Знание Python. Приветствуется хорошее знание высшей математики.,60 000-150 000 руб.
Программист Golang,https://hh.ru/vacancy/35159364?query=python,ИП Михеев Антон Михайлович,Разрабатывать программное обеспечение в сфере архитектуры на языке Golang. Выполнять работы в соответствии с графиком производства работ.Знание Golang. Знание Python.,60 000-150 000 руб.
Программист Golang,https://hh.ru/vacancy/35159363?query=python,ИП Михеев Антон Михайлович,Разрабатывать программное обеспечение в сфере архитектуры на языке Golang. Выполнять работы в соответствии с графиком производства работ.Знание Golang. Знание Python.,60 000-150 000 руб.
Программист Golang,https://hh.ru/vacancy/35159365?query=python,ИП Михеев Антон Михайлович,Разрабатывать программное обеспечение в сфере архитектуры на языке Golang. Выполнять работы в соответствии с графиком производства работ.Знание Golang. Знание Python. Приветствуется хорошее знание высшей математики.,60 000-150 000 руб.
Senior Python Developer (remote),https://hh.ru/vacancy/35589438?query=python, Anchous Drive Recruitment,"Практикуем: Agile, Scrum, Code Review, CI, тесты. Команда: 12 человек (frontend, backend, QA, PM, designers, CTO + founder). Конкретные пожелания к кандидату: Опыт 4+ лет, Python, Celery, Flask, Docker, SQLAlchemy, MySQL/PostrgreSQL. Опыт работы с DevOps частью...",150 000-200 000 руб.
Senior Python Developer (remote),https://hh.ru/vacancy/35589201?query=python, Anchous Drive Recruitment,"Практикуем: Agile, Scrum, Code Review, CI, тесты. Команда: 12 человек (frontend, backend, QA, PM, designers, CTO + founder). Конкретные пожелания к кандидату: Опыт 4+ лет, Python, Celery, Flask, Docker, SQLAlchemy, MySQL/PostrgreSQL. Опыт работы с DevOps частью...",150 000-200 000 руб.
Full stack web разработчик,https://hh.ru/vacancy/35391047?query=python,ИП Pegas Research,Выполненные проекты могут быть использованы Вами в качестве портфолио. Также Вы приобретёте ценный опыт командной работы. Хорошее владение HTML5...,до 40 000 руб.
Python Backend разработчик / Data engineer (Удаленно),https://hh.ru/vacancy/34124359?query=python,ООО Алитикс,"Развитие системы сбора и подготовки данных. Имплементация ETL, Data пайплайнов внутри нашего Greenplum DWH. Работа с внешними площадками и внутренними...Опыт создания REST API. Опыт использования docker. Отличные знания python, SQL. Пользователь Linux на уровне продвинутого пользователя. Навыки в рефакторинге...",от 120 000 руб.
Full stack developer (Python / Django / Vue),https://hh.ru/vacancy/35305860?query=python, EXANTE,"Задачи касаются разработки внутренних сервисов платформы - CRM и личного кабинета пользователя.Практический опыт применения Django, Python 2/3 и знание одного из JS и фреймворков. Интересные проекты в резюме, над которыми...",от 1 200 EUR
Data Analyst / Аналитик,https://hh.ru/vacancy/35282814?query=python,ООО Раксел Телематикс,Анализ и оптимизация существующих алгоритмов работы с геоданными и данными сенсоров мобильных телефонов.Аналитический склад ума. Начальные знания SQL (можем обучить). Начальные знания Python/R. Опыт работы с визуализационными BI инструментами является плюсом...,50 000-50 000 руб.
Специалист по автоматизированному тестированию/ Python QA automation engineer,https://hh.ru/vacancy/34909488?query=python, Лаборатория качества,Опыт автоматизации тестирования от 1 года. Опыт разработки на Python. Опыт работы с Pytest/Selenium/Appium. Опыт работы с Mac...,до 70 000 руб.
